DAY,DATE,SHIP,LINE,ARRIVAL TIME,DEPARTURE TIME,TERMINAL,DESTINATION & NOTES
Thursday,8/17/2023,Viking Polaris,Viking Expeditions,N/A,N/A,MCT,"Canadian Maritimes/Toronto, ON"
Friday,8/18/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK)"
Saturday,8/19/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"St. John, NB"
Saturday,8/19/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,8/20/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,"Port Canaveral, FL/Bahamas/Bermuda"
Sunday,8/20/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,8/21/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,Bermuda
Tuesday,8/22/2023,Norwegian Escape,Norwegian Cruise Line,N/A,8:00 PM,MCT,Bermuda
Wednesday,8/23/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"San Juan, PR/St. Thomas, USVI/Turks & Caicos"
Wednesday,8/23/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Thursday,8/24/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Boston, MA/Maine/St. John, NB/Halifax,NS"
Thursday,8/24/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Bahamas/Port Canaveral, FL"
Sunday,8/27/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Miami, FL/Bahamas"
Sunday,8/27/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT,"Halifax, NS/St. John, NB/Maine"
Sunday,8/27/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Wednesday,8/30/2023,Caribbean Princess,Princess Cruises,7:00 AM,5:00 PM,BCT,"New England/Canadian Maritimes/Quebec City, Que."
Wednesday,8/30/2023,Insignia,Oceania Cruises,8:00 AM,5:00 PM,MCT,Bermuda
Wednesday,8/30/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Wednesday,8/30/2023,Viking Saturn,Viking Ocean Cruises,N/A,N/A,MCT,"Halifax, NS/Greenland/Iceland"
Thursday,8/31/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Dominican Republic/Turks & Caicos/Bahamas
Saturday,9/2/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,9/3/2023,Norwegian Escape,Norwegian Cruise Line,7:00 AM,5:30 PM,MCT,"Halifax, NS/St. John, NB/Maine"
Sunday,9/3/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,9/4/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,Bermuda
Monday,9/4/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que."
Monday,9/4/2023,Viking Star,Viking Ocean Cruises,N/A,---,MCT,In port overnight
Tuesday,9/5/2023,Viking Star,Viking Ocean Cruises,---,4:30 PM,MCT,"Boston, MA/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Wednesday,9/6/2023,Insignia,Oceania Cruises,8:00 AM,5:00 PM,MCT,Bermuda
